# Extracted from: D:\Work_Work\Mars\MAVEN\iuvs_data_kp\JGR_Figures\JGR_Figures\Fig2.fig
# Figure title: Figure 2
# X axis: Random number
# Y axis: Scattering angle \theta_{LAB} (deg.)
# Interpretation: inverse CDF style mapping from random number to H or H-ENA atmospheric scattering angle in LAB frame.
# Columns: random_number scattering_angle_lab_deg
random_number	scattering_angle_lab_deg
0.950028834368	8.8
0.950072459052	8.81
0.950116001321	8.82
0.950159461426	8.83
0.950202839613	8.84
0.95024613613	8.85
0.950289351222	8.86
0.950332485135	8.87
0.950375538112	8.88
0.950418510395	8.89
0.950461402227	8.9
0.950504213849	8.91
0.950546945499	8.92
0.950589597417	8.93
0.950632169841	8.94
0.950674663007	8.95
0.950717077151	8.96
0.950759412509	8.97
0.950801669314	8.98
0.950843847799	8.99
0.950885948196	9
0.950927970737	9.01
0.950969915651	9.02
0.951011783167	9.03
0.951053573515	9.04
0.951095286921	9.05
0.951136923611	9.06
0.951178483812	9.07
0.951219967748	9.08
0.951261375642	9.09
0.951302707718	9.1
0.951343964197	9.11
0.9513851453	9.12
0.951426251248	9.13
0.95146728226	9.14
0.951508238554	9.15
0.951549120347	9.16
0.951589927857	9.17
0.951630661298	9.18
0.951671320887	9.19
0.951711906837	9.2
0.95175241936	9.21
0.95179285867	9.22
0.951833224978	9.23
0.951873518495	9.24
0.95191373943	9.25
0.951953887993	9.26
0.951993964391	9.27
0.952033968833	9.28
0.952073901524	9.29
0.95211376267	9.3
0.952153552476	9.31
0.952193271147	9.32
0.952232918885	9.33
0.952272495893	9.34
0.952312002373	9.35
0.952351438525	9.36
0.95239080455	9.37
0.952430100648	9.38
0.952469327016	9.39
0.952508483853	9.4
0.952547571355	9.41
0.952586589719	9.42
0.95262553914	9.43
0.952664419813	9.44
0.952703231932	9.45
0.952741975691	9.46
0.952780651281	9.47
0.952819258894	9.48
0.952857798722	9.49
0.952896270955	9.5
0.952934675782	9.51
0.952973013391	9.52
0.953011283972	9.53
0.953049487711	9.54
0.953087624796	9.55
0.953125695411	9.56
0.953163699742	9.57
0.953201637974	9.58
0.95323951029	9.59
0.953277316874	9.6
0.953315057907	9.61
0.953352733572	9.62
0.95339034405	9.63
0.953427889521	9.64
0.953465370163	9.65
0.953502786158	9.66
0.953540137682	9.67
0.953577424913	9.68
0.953614648028	9.69
0.953651807204	9.7
0.953688902615	9.71
0.953725934438	9.72
0.953762902846	9.73
0.953799808012	9.74
0.95383665011	9.75
0.953873429313	9.76
0.95391014579	9.77
0.953946799715	9.78
0.953983391256	9.79
0.954019920585	9.8
0.954056387869	9.81
0.954092793277	9.82
0.954129136978	9.83
0.954165419138	9.84
0.954201639924	9.85
